id,museum,title,era,material,size,description,detail_url,image,download_link,translation_status
1,柏林州立博物馆,与dabulin作战（战斗图片）,1789-Qing-Dynastie-Qianlong-Periode,红色，棕色黄色，橄榄色和蓝色雕刻，木材和镀金的青铜与象牙和石头,高度x宽度：72 x 108厘米,[SM8HF],https://id.smb.museum/object/1908454/kampfe-bei-dabulin-schlachtenbild,https://recherche.smb.museum/images/5702994_300x300.jpg,https://recherche.smb.museum/images/5702994_300x300.jpg,1.0
8,柏林州立博物馆,Couplet,Qing-Dynastie- 18./19。世纪,对联，墨水在纸上带有金色底漆,彩绘图像区域：347.4 x 50.7厘米每卷,[SM8HF],https://id.smb.museum/object/2260424/couplet,https://recherche.smb.museum/images/5188907_300x300.jpg,https://recherche.smb.museum/images/5188907_300x300.jpg,1.0
9,柏林州立博物馆,欧洲金属版中的中国瓷碗,1580年左右（版本），瓷器：明朝，Wan Li-era：1563-1620,外壳：玻璃绘画下的瓷器，版本：银，部分铸造，驱动，镀金，刻有雕刻,身高：7.8厘米,"库存书中的条目：“瓷器，半球形，环脚，在釉下涂有钴蓝色。

外壳来自博士的收藏。维也纳的阿尔伯特·菲格多（Albert Figdor）。

16世纪为水罐和壳牌制造的珍贵金属框架证明了对稀有中国瓷器的高度欣赏。

clka",https://id.smb.museum/object/2305156/chinesische-porzellanschale-in-europaischer-metallfassung,https://recherche.smb.museum/images/5394160_300x300.jpg,https://recherche.smb.museum/images/5394160_300x300.jpg,1.0
10,柏林州立博物馆,Päonie装饰,Jin-Dynastie-12. Jh.,cizhou-ware，粘土带有白色engobe，sgraffito装饰,高度x宽度x深度：13.7 x 27.9 x 28.5厘米,[SM8HF],https://id.smb.museum/object/1910532/schale-mit-paoniendekor,https://recherche.smb.museum/images/4617587_300x300.jpg,https://recherche.smb.museum/images/4617587_300x300.jpg,1.0
11,柏林州立博物馆,Teeschale,南歌Dynastie-12./13。世纪,砂粘土和浅棕色釉,高度x直径：4.4 x 14.7厘米,[SM8HF],https://id.smb.museum/object/1910345/teeschale,https://recherche.smb.museum/images/4617546_300x300.jpg,https://recherche.smb.museum/images/4617546_300x300.jpg,1.0
12,柏林州立博物馆,带有景观装饰的头枕,Song Dynasty，13世纪Jin-Dynastie或宋,釉面stone用棕色绘画，cizhou goods,高度x宽度x深度：13 x 27 x 24厘米,景观绘画流派的代表，放置在宽松的卷曲框架中，装饰着该头枕的倾斜顶部。在左边的一群树上，一个人站在一个岬角上，看着另一侧的瀑布，他从陡峭的悬垂岩石上掉下来。头枕的高墙以宽敞，自发的绘画风格显示了风格化的卷须图案。这幅画位于白色engobe上方，以实现装饰的强烈对比。不仅在Cizhou，当今Hebei省的CI区，以其稳健的形状和装饰的新鲜感和即时性而闻名的日常商品，而且生产设施在整个中国北部地区都广泛。借助大气景观的描绘，柏林收藏中的头枕是最美丽的绘画例子之一，在当今建立的金朝特别受欢迎。能够在夏季（618-906）的夏季，能够将脖子作为冷却休息场所的陶瓷头枕很受欢迎，并在歌曲和元朝（10至14世纪）中算作。除了受欢迎的Cizhou商品的头枕外，精致的正式作品和装饰的精致，还被询问。,https://id.smb.museum/object/975447/kopfstutze-mit-landschaftsdekor,https://recherche.smb.museum/images/1214952_300x300.jpg,https://recherche.smb.museum/images/1214952_300x300.jpg,1.0
13,柏林州立博物馆,"Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte (budai zunzhe 布袋尊著)",17. Jh.,铁，金色的残余物,对象维度：61 x 59.5 x 62.5厘米,＆nbsp;在玛哈亚纳·博德（Mahayana-Buddhism）中，历史人物也被视为一种启发性的重生，所谓的菩萨。Budai Heshang（大麻袋僧侣，大约9世纪）被认为是未来佛陀的体现。仍然是东亚最受欢迎的佛教救赎形状之一。他的肚子浓密，笑着，穿着字母的衣服，他被呈现为流浪者，一直活到对学习神圣著作不感兴趣的那一天。通过这样做，他质疑了学生和尚的苦行者理想，并表明没有严格的规则可以从出生周期中获得的启蒙和解放。,https://id.smb.museum/object/608873/monch-budai-budai-heshang-%E5%B8%83%E8%A2%8B%E5%92%8C%E5%B0%9A-dickbauchmaitreya-da-duzi-milefo-%E5%A4%A7%E8%82%9A%E5%AD%90%E5%BD%8C%E5%8B%92%E4%BD%9B-monch,https://recherche.smb.museum/images/2357833_300x300.jpg,https://recherche.smb.museum/images/2357833_300x300.jpg,1.0
14,柏林州立博物馆,"Guanyin, Bodhisattva  der Barmherzigkeit (chin. Guanyin pusa 觀音菩薩)",sp. Yuan-Dynastie (Yüan)/f. Ming-Zeit,"Porzellan, Qingbai-Glasur",对象维度：46.5 x 31 x 21厘米,Bodhisattva Avalokiteshvara体现了佛陀的无私善良。他的脸上淡淡的微笑。他的腿的洛尔位置是指冥想的实践。白釉可能具有仪式功能。蒙古时期（1279–1368）的仪式手册描述，从业者应该将自己想象为同一月亮，以便与avalokite -vara识别自己，以便赎回死者的地狱倒塌。,https://id.smb.museum/object/1025129/guanyin-bodhisattva--der-barmherzigkeit-chin--guanyin-pusa-%E8%A7%80%E9%9F%B3%E8%8F%A9%E8%96%A9,https://recherche.smb.museum/images/2337928_300x300.jpg,https://recherche.smb.museum/images/2337928_300x300.jpg,1.0
17,柏林州立博物馆,Medaillon-Tapete à la chinoise,18世纪后期,水粉，手工纸,"Blattmaß: 9 Bahnen à 270,0 x 83,0 cm","墙壁衣服的历史通过中国纸壁纸的进口经历了真正的异国资产。在18世纪下半叶，中国壁纸享有很大的知名度，并已成为令人垂涎的豪华文章。墙上填充的象征性场景或开花树在广州的纸上绘制，以出口到欧洲，以水粉技术出口。一个所谓的“ Printroom”或“ sheoise wallpapers”是一种新的壁纸时尚。铜版已直接粘在墙壁上或地下纸上，并构造了框架，或放置在带有边界，花环，花朵等的装饰系统中。这样，将其转移到Chinatapeten。将椭圆形或矩形图像粘在彩色墙纸底部的中国绘画上，并用精致的花朵和叶子框起来。当这些最初在英格兰生产的壁纸已成为欧洲各地令人垂涎的时尚物品时，也可以将它们订购为1780年代最早的遥远的滚筒装备。

艺术博物馆的奖章墙纸与墙纸有着极大的相似之处，墙纸今天在弗莱瓦尔德城堡（Freiwalde Castle）建于1798/99年。两者都显示封闭的图像字段，并伴有顶部和下方的椭圆形奖章。这些绘画描述了日常场景，例如旅行收获，绘画瓷器，出售面料或乘船旅行。这些图片是由绿松石蓝色背景上的精致的花卷须构成的。一项精美的竹晶格工作根据当时流行的格子划分了墙壁。

墙纸的晚期日期和边界的绘画风格以及特殊疏远的特雷利斯格栅表明在18世纪末在中国创造了日期。",https://id.smb.museum/object/1627324/medaillon-tapete-a-la-chinoise,https://recherche.smb.museum/images/3418738_300x300.jpg,https://recherche.smb.museum/images/3418738_300x300.jpg,1.0
20,柏林州立博物馆,欧洲金属版本中国水罐,1570年左右（版本），瓷器：明朝，Wan Li-era：1563-1620,Kanne：带有底漆绘画的瓷器，版本：银，部分铸造，驱动，镀金,身高：20厘米,"库存簿中的入口：“瓷器瓷砖镀金的银色框架。水罐，瓷器，蓝色涂漆。厚实的身体分为六个田地，其中大叶植物；在颈部底座上；在短星上； - 颈部本身。

水罐是1889年由Großenhain的布料制造商和艺术品收藏家Richard Zschille购买的。

精致的金属版本归因于Erfurt Goldsmith Georg Berger（创意时期1560至1577年），证明了对稀有中国瓷器的高度欣赏。

clka",https://id.smb.museum/object/2305157/chinesische-kanne-in-europaischer-metallfassung,https://recherche.smb.museum/images/5394159_300x300.jpg,https://recherche.smb.museum/images/5394159_300x300.jpg,1.0
21,柏林州立博物馆,坐着卢汉,Ming-Dynastie-16. Jh.,浅灰色粘土和彩色釉,高度x宽度x深度：95 x 68.5 x 50.5厘米（无木基）,[SM8HF],https://id.smb.museum/object/986879/sitzender-luohan,https://recherche.smb.museum/images/4524363_300x300.jpg,https://recherche.smb.museum/images/4524363_300x300.jpg,1.0
27,柏林州立博物馆,"Lachender Maitreya (xiaokou milefo 笑口彌勒佛); Mönch Budai (budai heshang 布袋和尚); ""Dickbauchmaitreya"" (da duzi milefo 大肚子彌勒佛); Mönch Budai (budai heshang 布袋和尚); Budai, der Ehrenwerte 布袋尊著",元朝（Yüan），后来,铜牌，带有黄金版本的残余,高度X宽度：29 x 22厘米,“佛教乞s和尚布莱……带念珠。……基地在背面严重损坏。”粗糙的工作（R. Violet，1969年）,https://id.smb.museum/object/137767/lachender-maitreya-xiaokou-milefo-%E7%AC%91%E5%8F%A3%E5%BD%8C%E5%8B%92%E4%BD%9B-monch-budai-budai-heshang-%E5%B8%83%E8%A2%8B%E5%92%8C%E5%B0%9A,https://recherche.smb.museum/images/2876778_300x300.jpg,https://recherche.smb.museum/images/2876778_300x300.jpg,1.0
28,柏林州立博物馆,花瓶，切成莲花的花卉装饰和木制基础,"Qing-Dynastie, Qianlong-Ära (1735-1796), um 1740/50",玻璃，玻璃切割，模型吹来并自由形状；热带木材，雕刻,高度：15.5厘米（花瓶没有底座）,"鸡蛋形的花瓶由不透明的绿松石蓝色玻璃组成，该玻璃杯上悬挂着不透明的红棕色玻璃（牛油锅）。抛光高切的装饰表明，在不同的开发阶段，有两个芽，还有一只飞马，两个树枝和三片叶子，可以缓解带有两个芽的大型荷花开花。表面装饰有不规则的分支结构的平坦浮雕，并通过波浪嘴边缘下方的孔进行装饰。木基底部由两个化合物组成，并显示了像水一样雕刻的椎骨和泡沫冠的装饰。
东亚药物还包括柏林艺术博物馆的早期收购。当时，博物馆将自己视为榜样，也是当代艺术（商业）生产的思想来源。东亚的艺术和美学承诺了新的冲动。
大量日本人的收藏，最重要的是中国艺术品来自北京的德国特使，马克斯·冯·布兰特（Max von Brandt）（1835-1920）。1885年，在柏林柏林艺术博物馆发行的中国过度挑战眼镜影响了埃米尔·加莱尔的玻璃艺术（1861-1904）。

描述：汉字中的汉字在线雕刻（墙壁高度的一半）

点燃：Claudia Kanowski，in：详细信息！100件最喜欢的工艺博物馆作品，德累斯顿，柏林，2018年，第180f。克劳迪娅·卡诺夫斯基（Claudia Kanowski），“艺术和手工艺品是新鲜图案的需求”。东亚收藏家马克斯·冯·布兰特（Max von Brandt）和恩斯特·奥尔默（Ernst Ohlmer）在一百年前柏林艺术博物馆的基础上，载于：马修斯·韦伊斯（MatthiasWeiß）等（编辑）：交流意见。在中国和欧洲1669- 1907年之间，展览。CAT。Arthus pabst：中国玻璃制品，在：Kunstgämlatt1（1885），第41页，图2。

clka",https://id.smb.museum/object/884941/vase-mit-geschnittenem-lotosblutendekor-und-holzsockel,https://recherche.smb.museum/images/5881385_300x300.jpg,https://recherche.smb.museum/images/5881385_300x300.jpg,1.0
58,柏林州立博物馆,用旋钮密封云之间的风筝形式,Qing (Mandschu) –Dynastie-18./19. Jh.,白玉，外面有棕色斑点,高度x宽度x深度：3.8 x 2.9 x 2.9厘米,[SM8HF],https://id.smb.museum/object/2391042/siegel-mit-knauf-in-form-eines-drachens-zwischen-wolken,https://recherche.smb.museum/images/5686865_300x300.jpg,https://recherche.smb.museum/images/5686865_300x300.jpg,1.0
60,柏林州立博物馆,用狮子的形式密封knauf,Qing (Mandschu) –Dynastie-18./19. Jh.,Shoushan-Stein,对象维度：5.9 x 2.5 x 2.5厘米,[SM8HF],https://id.smb.museum/object/1920571/siegel-mit-knauf-in-form-eines-lowen,https://recherche.smb.museum/images/5686866_300x300.jpg,https://recherche.smb.museum/images/5686866_300x300.jpg,1.0
61,柏林州立博物馆,用风筝的形式与Knauf密封,Qing (Mandschu) –Dynastie-18./19. Jh.,白玉,高度x宽度x深度：3.4 x 3.2 x 3.2厘米,[SM8HF],https://id.smb.museum/object/1920568/siegel-mit-knauf-in-form-eines-drachens,https://recherche.smb.museum/images/5686851_300x300.jpg,https://recherche.smb.museum/images/5686851_300x300.jpg,1.0
64,柏林州立博物馆,LANDCARPET Europe,2007（草稿）,新西兰羊毛，交给组织,长度x宽度x高度：240 x 180 x 2厘米,"该设计代表了田野和街道的景色，并以绿色和棕色的色调保持。
该地毯来自欧洲系列（Model 1），第23版88。
还有北美，南美，亚洲，非洲和澳大利亚的大陆系列。
由金塔普在北京/中国为维也纳/奥地利的Florian Pucher制作。
另请参阅：http：//www.florianpucher.com/award.html（上次访问：10.3.2017）",https://id.smb.museum/object/2284806/landcarpet-europe,https://recherche.smb.museum/images/5268406_300x300.jpg,https://recherche.smb.museum/images/5268406_300x300.jpg,1.0
67,柏林州立博物馆,"""Marici"", chin.: molizhi tianhou 摩里支 (天后)",在19世纪末,木材，涂漆，镀金,对象维度：97 x 89 x 56.5厘米,Marici（伟大的汽车女神），中国人也称为Bodhisattva。,https://id.smb.museum/object/146281/marici-chin--molizhi-tianhou-%E6%91%A9%E9%87%8C%E6%94%AF-%E5%A4%A9%E5%90%8E,https://recherche.smb.museum/images/1465834_300x300.jpg,https://recherche.smb.museum/images/1465834_300x300.jpg,1.0
69,柏林州立博物馆,Flying whirl,2006,金属，塑料,Durchmesser: je 11 cm,"具有不同图案和不同颜色的针头插入白色塑料环以进行运输和条纹。
a）花：红色，白色，浅蓝色，薄荷绿色，黄色和粉红色的5片
b）心：5块颜色红色，粉红色，白色，浅蓝色，绿色和黄色
c）叶：5块颜色红色，粉红色，白色，绿松石，黄色和绿色
叶子的塑料环上有一个标签，中间有徽标，铭文“在中国制造”。针长5厘米。",https://id.smb.museum/object/1925568/flying-whirl,https://recherche.smb.museum/images/4637958_300x300.jpg,https://recherche.smb.museum/images/4637958_300x300.jpg,1.0
75,柏林州立博物馆,ISTAF 1937-2007,2007,聚酯，印刷,高度x宽度：48 x 49厘米,"由聚酯制成的白色蓝色布；制造：中国制造；
白色原因，印刷浅蓝色，符号和对Istaf的刻字（每年在柏林举行的大型田径比赛））
印刷铭文：1937-2007 DKB-ASTAF柏林",https://id.smb.museum/object/1454633/istaf-1937-2007,https://recherche.smb.museum/images/2849053_300x300.jpg,https://recherche.smb.museum/images/2849053_300x300.jpg,1.0
76,柏林州立博物馆,Joker,1994,塑料（柔软而硬）,高度x宽度x深度：站立12 x 7 x 4厘米,图片“小丑”，电影“蝙蝠侠”的商品销售（美国1989年）,https://id.smb.museum/object/1399734/joker,https://recherche.smb.museum/images/2591481_300x300.jpg,https://recherche.smb.museum/images/2591481_300x300.jpg,1.0
77,柏林州立博物馆,Batcycle,1994,塑料，橡胶,高度x宽度x深度：最大,图形“蝙蝠侠”在更新中的“蝙蝠侠”（摩托车），电影“蝙蝠侠”（美国1989年）,https://id.smb.museum/object/1399718/batcycle,https://recherche.smb.museum/images/2591480_300x300.jpg,https://recherche.smb.museum/images/2591480_300x300.jpg,1.0
78,柏林州立博物馆,Raphael,1994,塑料,高度x宽度x深度：图折约8 x 10 x 14厘米,"大而庞大的人物“拉斐尔”都站在四个四分之一的位置，隐藏了一种秘密的中心或堡垒。如果您查找坦克，那么一个内心的世界就会亮起，这又可以进一步打开并包含两个迷你人物。
电影“海龟”的商品销售（美国1990年）",https://id.smb.museum/object/1399653/raphael,https://recherche.smb.museum/images/2591477_300x300.jpg,https://recherche.smb.museum/images/2591477_300x300.jpg,1.0
79,柏林州立博物馆,Mutatin' Leonardo,1992,塑料，橡胶,高度x宽度x深度：图站立12 x 7 x 6厘米,图“ Mutatin'Leonardo”可以通过转化为外观好斗的忍者巨龟，从看上去无害的乌龟转化。为此，您必须将水箱拉到头上。第二个头部和其他武器/鳍被隐藏在坦克下面。电影“海龟”的商品销售（美国1990年）,https://id.smb.museum/object/1399646/mutatin-leonardo,https://recherche.smb.museum/images/2591475_300x300.jpg,https://recherche.smb.museum/images/2591475_300x300.jpg,1.0
80,柏林州立博物馆,Next Quest,2006,塑料,"Kistenmaß: 21,5 x 20 x 8,5 cm","制造商的说法，集体人物的演奏打开了全球非常成功的游戏男孩游戏“神奇宝贝”的“新维度”（下一个任务）。
数字：
答：人物“ brix”：战斗态度，伸出手臂和食指，站在黑色表面上
B：怪物“皮卡丘”：绿色表面动态运动中的黄色动物
C：怪物“ kramurx”：蓝色的猎物蓝鸟，帽子和红色的眼睛在绿色的表面上
D：怪物“ Impergerator”：在威胁蓝色表面的手势的土耳其语，粘龙",https://id.smb.museum/object/1399486/next-quest,https://recherche.smb.museum/images/2591472_300x300.jpg,https://recherche.smb.museum/images/2591472_300x300.jpg,1.0
81,柏林州立博物馆,Luke Skywalker,2007,塑料,"Kistenmaß: 23 x 15 x 4,5 cm",数字“卢克·天行者”（Luke Skywalker）包括原始盒子中的集体硬币（电影《星球大战》（Star Wars）30周年，美国1977年）,https://id.smb.museum/object/1399464/luke-skywalker,https://recherche.smb.museum/images/2591470_300x300.jpg,https://recherche.smb.museum/images/2591470_300x300.jpg,1.0
