id,museum,title,era,material,size,description,detail_url,image,download_link,translation_status
1,柏林州立博物馆,与dabulin作战（战斗图片）,1789-Qing-Dynastie-Qianlong-Periode,红色，棕色黄色，橄榄色和蓝色雕刻，木材和镀金的青铜与象牙和石头,高度x宽度：72 x 108厘米,[SM8HF],https://id.smb.museum/object/1908454/kampfe-bei-dabulin-schlachtenbild,https://recherche.smb.museum/images/5702994_300x300.jpg,https://recherche.smb.museum/images/5702994_300x300.jpg,1.0
2,柏林州立博物馆,,,皮革;刺绣,高度x宽度：40 x 24厘米,"附录条目：ütak=在土库斯坦（Shaw）穿着的膝盖靴子。

技术纺织品零件：
a）深绿色和绿色布（羊毛，帆布装订），倾倒，深红色布（羊毛，帆布绑定），深红色羊毛组织（身体绑定）：金属刺绣（以前是金色和银色的金属幽灵螺纹：大概是棉花灵魂上的黄铜和西伯拉族）用切割皮革制成的爆炸技术鞋垫，铺设技术（过度形成的线：橙色丝绸）和深红色（扁平缝线，丝绸）；黑色丝绸制成的边缘
b）在上轴上：​​蓝色，粗棉布（帆布结合），绣花",https://id.smb.museum/object/3500677/schuhe,https://recherche.smb.museum/images/1191677_300x300.jpg,https://recherche.smb.museum/images/1191677_300x300.jpg,0.0
3,柏林州立博物馆,,,皮革;刺绣,高度x宽度：40 x 24厘米,"附录条目：ütak=在土库斯坦（Shaw）穿着的膝盖靴子。

技术纺织品零件：
a）深绿色和绿色布（羊毛，帆布装订），倾倒，深红色布（羊毛，帆布绑定），深红色羊毛组织（身体绑定）：金属刺绣（以前是金色和银色的金属幽灵螺纹：大概是棉花灵魂上的黄铜和西伯拉族）用切割皮革制成的爆炸技术鞋垫，铺设技术（过度形成的线：橙色丝绸）和深红色（扁平缝线，丝绸）；黑色丝绸制成的边缘
b）在上轴上：​​蓝色，粗棉布（帆布结合），绣花",https://id.smb.museum/object/193304/schuhe,https://recherche.smb.museum/images/1191677_300x300.jpg,https://recherche.smb.museum/images/1191677_300x300.jpg,0.0
4,柏林州立博物馆,,,丝绸,长度x宽度：125 x 109厘米,"tuch“ uramal”像89/92。
黄色丝绸和刺绣。",https://id.smb.museum/object/193386/tuch,https://recherche.smb.museum/images/1535980_300x300.jpg,https://recherche.smb.museum/images/1535980_300x300.jpg,0.0
5,柏林州立博物馆,带有沿海景观和牧羊人的盘子（“ Chine de Commande”）,"Qing-Dynastie, Qianlong-Ära (1736-1795)",瓷器和金色的瓷器,,板旗装饰有金提示装饰，让人想起梅伊纳瓷器以及蓝色和红色装饰品。紫红色的中国景观以三个储备显示。镜子显示沿海景观。在前景的右侧，出现了一个带牧羊人和绵羊的风景以及在树之间的欧洲贵族夫妇，后面是房屋的山墙。一个带船和两艘较小船的海湾在左图场。在背景中，在17世纪和18世纪展示了一个带有宝塔的中国城市的岩石景观，中国将大量的瓷器出口到欧洲。“东印度贸易公司”充当中介。瓷器主要是将来自荷兰，英格兰和其他贸易国家的经销商交付的，然后他们进一步出售。中国画家在广州港口（广州）附近的车间中装饰了瓷器。欧洲印刷图形通常用作模板。通过这样做，他们将来自欧洲的外国图案与自己的图片创意相结合。// clka,https://id.smb.museum/object/893265/teller-mit-kustenlandschaft-und-hirten-chine-de-commande,https://recherche.smb.museum/images/5398339_300x300.jpg,https://recherche.smb.museum/images/5398339_300x300.jpg,0.0
6,柏林州立博物馆,"Teller mit Urteil des Paris (""Chine de commande"")",执行：清朝，Qianlong时代（1736-1795），1740年左右,,,在17和18世纪，中国将大量瓷器出口到欧洲。“东印度贸易公司”充当中介。瓷器主要是将来自荷兰，英格兰和其他贸易国家的经销商交付的，然后他们进一步出售。中国画家在港口城市（广州）附近的车间里装饰了瓷器。通过这样做，他们将来自欧洲的外国图案与自己的形象思想相结合。赫拉（Hera）和雅典娜（Athena）空无一人。铜版用作模板，它可能是在Jan Brueghel d的半径上的一幅绘画上。J.（1616-1678）。这个故事对中国画家很陌生。雅典娜（Athena）在后面的视野似乎想到了一个男人，因为她的头盔。苹果成为一个不确定的对象。// clka,https://id.smb.museum/object/885911/teller-mit-urteil-des-paris-chine-de-commande,https://recherche.smb.museum/images/6283471_300x300.jpg,https://recherche.smb.museum/images/6283471_300x300.jpg,0.0
7,柏林州立博物馆,yinqing,,黄铜，一部分抛光，木材，涂漆，金属,身高：29厘米（带茎）,,https://id.smb.museum/object/256260/yinqing,https://recherche.smb.museum/images/3468617_300x300.jpg,https://recherche.smb.museum/images/3468617_300x300.jpg,0.0
8,柏林州立博物馆,Couplet,Qing-Dynastie- 18./19。世纪,对联，墨水在纸上带有金色底漆,彩绘图像区域：347.4 x 50.7厘米每卷,[SM8HF],https://id.smb.museum/object/2260424/couplet,https://recherche.smb.museum/images/5188907_300x300.jpg,https://recherche.smb.museum/images/5188907_300x300.jpg,1.0
9,柏林州立博物馆,欧洲金属版中的中国瓷碗,1580年左右（版本），瓷器：明朝，Wan Li-era：1563-1620,外壳：玻璃绘画下的瓷器，版本：银，部分铸造，驱动，镀金，刻有雕刻,身高：7.8厘米,"库存书中的条目：“瓷器，半球形，环脚，在釉下涂有钴蓝色。

外壳来自博士的收藏。维也纳的阿尔伯特·菲格多（Albert Figdor）。

16世纪为水罐和壳牌制造的珍贵金属框架证明了对稀有中国瓷器的高度欣赏。

clka",https://id.smb.museum/object/2305156/chinesische-porzellanschale-in-europaischer-metallfassung,https://recherche.smb.museum/images/5394160_300x300.jpg,https://recherche.smb.museum/images/5394160_300x300.jpg,1.0
10,柏林州立博物馆,Päonie装饰,Jin-Dynastie-12. Jh.,cizhou-ware，粘土带有白色engobe，sgraffito装饰,高度x宽度x深度：13.7 x 27.9 x 28.5厘米,[SM8HF],https://id.smb.museum/object/1910532/schale-mit-paoniendekor,https://recherche.smb.museum/images/4617587_300x300.jpg,https://recherche.smb.museum/images/4617587_300x300.jpg,1.0
