title,museum,era,material,size
带有沿海景观和牧羊人的盘子（“ Chine de Commande”）,柏林州立博物馆,"Qing-Dynastie, Qianlong-Ära (1736-1795)",瓷器和金色的瓷器,
"Teller mit Urteil des Paris (""Chine de commande"")",柏林州立博物馆,执行：清朝，Qianlong时代（1736-1795），1740年左右,,
yinqing,柏林州立博物馆,,黄铜，一部分抛光，木材，涂漆，金属,身高：29厘米（带茎）
Manichean Book Illustration,柏林州立博物馆,9./10。世纪,插图手稿,图片：17.2 x 11.2厘米
duttar,柏林州立博物馆,,,
军官V.班,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1892",kesi（活动）;丝绸，金属螺纹，草线，涂漆细节,高度x宽度：30.2 x 31.6厘米
军官IV级,柏林州立博物馆,,Textil,高度x宽度：30 x 31厘米
军官II级,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1892",kesi（活动）;丝绸，金属线，草皮,高度x宽度：27 x 30厘米
军官一级,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1892",kesi（活动）;丝绸，金属线，草皮,高度x宽度：29.4 x 30.5厘米
民事官员VIII课,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1892",kesi（活动）;丝绸，旋转线,高度x宽度：28.5 x 31.7厘米
民事官员班,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1892",kesi（活动）;丝绸，金属线，草皮,高度x宽度：28.5 x 31厘米
民事官员IV班,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1892",kesi（活动）;丝绸，金线/旋转线；草,高度x宽度：29.6 x 30.3厘米
Qilin,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1888",丝绸,高度x宽度：31.5 x 32厘米（根据索引卡）
军官：八年级,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),纸;丝绸,
军官：七年级。,柏林州立博物馆,,纸;丝绸,
军官：六年级。,柏林州立博物馆,,纸;丝绸,
五级军官,柏林州立博物馆,,纸;丝绸,
军官：四年级。,柏林州立博物馆,,纸;丝绸,
第三级军官。,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), um 1890",纸;丝绸,
军官：一级。,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), um 1890",纸;丝绸,图片：22.5 x 13厘米
公务员：九年级。,柏林州立博物馆,,纸;丝绸,图片：22.5 x 13.7厘米
公务员：八年级。,柏林州立博物馆,,纸;丝绸,图片：22.5 x 13.7厘米
公务员：七年级。,柏林州立博物馆,,纸;丝绸,图片：22.5 x 13.7厘米
公务员：六年级。,柏林州立博物馆,,纸;丝绸,图片：22.5 x 13.7厘米
公务员5级,柏林州立博物馆,,纸;丝绸,图片：22.5 x 13.7厘米
公务员：四年级。,柏林州立博物馆,,纸;丝绸,图片：22.5 x 13.7厘米
三级公务员,柏林州立博物馆,"Qing (Mandschu) -Dynastie, um 1890",纸;颜色,图片：22.5 x 13.7厘米
公务员：二年级,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),纸;颜色,图片：22.5 x 13.7厘米
军官II级,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),纸;颜色,图片：21.5 x 13厘米
发针与船的形式装饰,柏林州立博物馆,第二个半年半王朝,银，部分镀金，绿色和蓝色翠鸟弹簧，彩色珍珠，玻璃流和绘画,
Tusbone以蹲伏系统的形式,柏林州立博物馆,Qing (Mandschu) –Dynastie-1778,人为的授权stone木料（Yixing Goods）,对象维度：4.8 x 9.1 x 14.3厘米
八角形盒子,柏林州立博物馆,Qianlong-Periode,红色，金色和黑色涂漆，金色彩绘竹网,高度X直径：18.8 x 47厘米（开口）
Kalligrafie,柏林州立博物馆,Ming-Dynastie-16./17。世纪,粉丝叶，纸上的墨水,高度x宽度：17.5 x 52.3厘米
兰花和岩石,柏林州立博物馆,17世纪,纸上的交叉卷，墨水和浅色,高度x宽度：30.7 x 252.3厘米
Porträt des Baningga,柏林州立博物馆,Qing (Mandschu) –Dynastie (Mitte)-datiert 1760,在丝绸上悬挂角色，墨水和颜色,图片：154.5 x 95.5厘米
巴泰的肖像,柏林州立博物馆,Qing (Mandschu) –Dynastie (Mitte)-datiert 1760,丝绸的角色，墨水和颜色,图片：154.5 x 95.5厘米
Porträt des Generals Baketanbu,柏林州立博物馆,Qing (Mandschu) –Dynastie (Mitte)-1776,丝绸上的墨水和颜色,高度x宽度：170 x 85厘米（中尉KK）
Dawujing战役（战斗图片）,柏林州立博物馆,1787-Qing-Dynastie-Qianlong-Periode,红色，棕色黄色，橄榄色和蓝色雕刻，木材和镀金的青铜与象牙和石头,高度x宽度：72 x 108厘米
小米战役（战斗图片）,柏林州立博物馆,1788-Qianlong-Periode-Qing-Dynastie,红色，棕色黄色，橄榄色和蓝色雕刻，木材和镀金的青铜与象牙和石头,高度x宽度：72 x 108厘米
Archiv China,柏林州立博物馆,年：1909年，1911年,,
带有鹅配对奖章的丝绸锦缎,柏林州立博物馆,12./13。世纪,材料：丝绸,长度x宽度：最大：57.3 x 62.3厘米
带有凤凰和云奖章的丝绸锦缎,柏林州立博物馆,12./13。世纪,材料：丝绸,长度x宽度：最大：58.5 x 65厘米
丝绸碎片与荷花花朵下的苍鹭,柏林州立博物馆,12./13。世纪,,长度X宽度：最大58.5 x 62厘米
Miao书,柏林州立博物馆,1883,木头;墨水在纸上,对象维度：31.5 x 27 x 6厘米
Mueller China,柏林州立博物馆,年：1912-1913,,
Laufer China,柏林州立博物馆,录音年：1901年,,
施尼特中国,柏林州立博物馆,年：1912- 1932年,,
Kalligrafie,柏林州立博物馆,明dynastie-16。世纪,粉丝叶，纸上的墨水,高度x宽度：17.2 x 51.6厘米
Kalligrafie,柏林州立博物馆,明dynastie-16。世纪,粉丝叶，纸上的墨水,高度x宽度：16.7 x 52.5厘米
Kalligrafie,柏林州立博物馆,Qing-Dynastie- 18./19。世纪,粉丝叶，纸上的墨水,高度x宽度：16.4 x 50.7厘米
Kalligrafie,柏林州立博物馆,明dynastie Qing-Dynastie-17。世纪,粉丝叶，纸上的墨水,高度x宽度：16.7 x 52.2厘米
Shâkyamuni从山上返回,柏林州立博物馆,Edo (Tokugawa)-Zeit,收费辊，丝绸上的颜色,高度x宽度：109.8 x 48.1厘米
zheng (guzheng),柏林州立博物馆,,,
Bambus,柏林州立博物馆,Ming-Dynastie-Qing-Dynastie-.16./17。世纪,粉丝叶，纸上的墨水,高度x宽度：17.5 x 49.5厘米
Kalligrafie,柏林州立博物馆,约会：1865-quing-dynastie-19。世纪,粉丝叶，纸上的墨水,高度x宽度：17.6 x 53厘米
Kalligrafie,柏林州立博物馆,Qing-Dynastie- 18./19。世纪,粉丝叶，纸上的墨水,高度x宽度：15.8 x 49.4厘米
Kalligrafie,柏林州立博物馆,Qing-Dynastie- 18./19。世纪的日期,粉丝叶，纸上的墨水,高度x宽度：17.8 x 54.3厘米
Porträt des Daktana (chin. Daketana),柏林州立博物馆,1760-Qing-Dynastie-Qianlong-Periode,纸上杂交，墨水和颜色的片段,物体维度：30厘米
Looge的肖像（Chin。Laoge）,柏林州立博物馆,1760-Qing-Dynastie-Qianlong-Periode,纸上杂交，墨水和颜色的片段,物体维度：30厘米
战争部长阿里根（Arigun,柏林州立博物馆,1760-Qing-Dynastie-Qianlong-Periode,纸上杂交，墨水和颜色的片段,物体维度：30厘米
"dril-bu, Ghanta",柏林州立博物馆,,Messing (?),长度x直径：19 x 10厘米（下图）
九首颂歌,柏林州立博物馆,Qing (Mandschu) –Dynastie (Anfang),丝绸上的专辑，墨水和颜色,高度x宽度：34.1 x 54.4厘米（A板A）
河流和李河的永久香气,柏林州立博物馆,Qing (Mandschu) –Dynastie (Mitte),专辑，纸上的墨水,图片：20 x 25.3厘米（per）
菊花的deck剂量,柏林州立博物馆,"Qing-Dynastie, Ära Qianlong-Qianlong-Periode",红色和黑色漆,高度x直径：9.5 x 14.7厘米（开放）
盘子的形式,柏林州立博物馆,Qianlong-Periode-Qing (Mandschu) -Dynastie,木地板，红色，黄色和绿色涂漆和雕刻,高度x宽度x深度：2 x 18.1 x 8厘米
圆形盖盒,柏林州立博物馆,14./15. Jh.,木头上的红色schnitzlack,高度x直径：3.1 x 8.3厘米
Deckeldose,柏林州立博物馆,14世纪或15世纪初期 - 梅德·dynastie-CA。1400 LT。萨米Y.李元王朝,黑色和红色漆在木头上，珍珠母和电线镶嵌物,高度x直径：5.3 x 12.6厘米
Deckeldose,柏林州立博物馆,在16./17。世纪 - 明朝,木材上的褐色黑色油漆，薄珍珠镶嵌，内部雕刻,高度x直径：3.6 x 9.2厘米
抓地力，输入空,柏林州立博物馆,公元前300年至230年的争议时间。,黑色和红色油漆绘画的木材,对象维度：7 x 17.6 x 23.4厘米
讲道场景；牛肉衬衫南达，讲道,柏林州立博物馆,um 500,粘土上的颜色,高度x宽度x深度：82 x 98.5 x 4.5厘米（III 8838和III 8840）
Tablett,柏林州立博物馆,"Ming-Dynastie, Ära Yongle",木头上的红色漆，织物覆盖，ocher底部，黑色导向层,高度x宽度x深度：4 x 22.2 x 43厘米
带插头盖的盒子,柏林州立博物馆,"Ming-Dynastie, 15. Jh.-Ming-Dynastie",黑色漆与木材上的珍珠母镶嵌，里面红色漆,对象维度：5.6 x 36 x 7.2厘米
Tempelfigur des Shennong 神農,柏林州立博物馆,,Holz,高度x宽度：19.5 x 5.5厘米
十月的盖子可以装饰花园场景,柏林州立博物馆,Ming-Dynastie-Tianqi-Ära,黑色漆成金漆和油漆，编织植物,高度x宽度：12.3 x 37.7厘米
竹子和岩石,柏林州立博物馆,Qing-Dynastie-um 1762,收费辊，纸上的墨水,图片：170 x 79厘米
鸭子池塘里的鸭子,柏林州立博物馆,Yuan-Dynastie-13。世纪,丝绸的角色，墨水和颜色,图片：128 x 78厘米
水牛和孩子,柏林州立博物馆,20世纪,纸上的墨水和颜色,高度x宽度：108 x 44厘米（根据KK）
鸭子的后卫,柏林州立博物馆,20世纪,纸上悬挂角色，墨水和颜色（？）,高度x宽度：128 x 67.5厘米（根据KK）
“下雨后河上的村庄””,柏林州立博物馆,18世纪,纸上卷，墨水和颜色,图片：13 x 344厘米
牧场上的Elsters,柏林州立博物馆,Republik China-1942,纸上的收费滚筒，墨水和颜色,图片：101 x 34.2厘米
十八个卢汉,柏林州立博物馆,清（Manchu）-Dynasty（开始）1709,丝绸上的交叉卷，墨水和颜色,高度x宽度：34.2 x 344厘米
突破敌方线（Chin。MachangZhuozhen）,柏林州立博物馆,1759-Qing-Dynastie-Qianlong-Periode,交叉卷，墨水和纸上的颜色,图片：36.4 x 303.3厘米（总数）
片段马尼奇小册子,柏林州立博物馆,10./11. Jh.,手稿，纸上的颜色,叶子大小：13.2 x 7.7厘米
gr,柏林州立博物馆,,粘土，带有颜色残留,高度x宽度x深度：7 x 7.5 x 4.5厘米
"Music in China Today. Ancient Traditions, Contemporary Trends",柏林州立博物馆,设置日期：2017年,大花环（聚碳酸酯），铝，防护漆，印刷颜色，塑料,Objektmaß: (Cover) 5 x 142 x 125 mm
牺牲金钱“鞋形金银青铜胡须”（Yuanbao元元）,柏林州立博物馆,"Qing (Mandschu) –Dynastie , vor 1898(Ende)",纸制造商，金漆,高度x宽度x深度：每件大约：4.8 x 8.3 x 4厘米
牺牲钱“鞋形金条”（Yuanbao元宝）,柏林州立博物馆,"Qing (Mandschu) –Dynastie , vor 1898(Ende)",纸制造商，金漆,高度x宽度x深度：每件大约：4.8 x 8.3 x 4厘米
牺牲金钱“鞋形的银棒”（Yuanbao元元）,柏林州立博物馆,"Qing (Mandschu) –Dynastie , vor 1898(Ende)",纸制造商，银色,高度x宽度x深度：每件大约：4.8 x 8.3 x 4厘米
“宝藏集团的一部分”,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1878",木头，纸板地块，纸；绘,"Objektmaß: c: 13,5 x 7,8 x 10,3 cm"
“宝藏集团的一部分”,柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1878",木头，纸板地块，纸；绘,"Objektmaß: b: 13,3 x 7,5 x 10,3 cm"
shen wei 神位,柏林州立博物馆,"Guangxu-Periode, dat.",木头，油漆；矿物,对象维度：38.5 x 32 x 12.2厘米
“在Lee -Ming -Soon -Garden，Canton中查看”,柏林州立博物馆,ca. 1920-1891,演示表格：白蛋白（？），隐藏在纸板上,图片：18.5 x 24.2厘米
墙壁和南门北京,柏林州立博物馆,1891,演示表格：隐藏在纸板上,图片：19.7 x 26.8厘米
北京的宝塔,柏林州立博物馆,ca. 1875-1891,演示表格：隐藏在纸板上,图片：23.6 x 18.4厘米
"""Studentenhut""",柏林州立博物馆,,,
"Blaugesicht, verwundet   皮影戲頭: 傷患",柏林州立博物馆,20世纪的一半,水牛皮，油漆,身高：13厘米
Erdgeister,柏林州立博物馆,ca. 1928,纸上水彩,叶子大小：46.6 x 36.2厘米
Drachenkönig (longwang 龍王),柏林州立博物馆,19世纪,木材，乌拉什（Urushi），颜料，头发；金子,对象维度：22.5 x 11 x 8.2厘米
Erdgott (tudishen 土地神),柏林州立博物馆,,木头，被抓住,对象维度：20.5 x 13 x 12.2厘米
hulu 葫蘆,柏林州立博物馆,Ming-Dynastie,带有划痕图和丝绸附件的calab质量,高度x直径：22 x 11厘米
财富上帝（凯森财神）,柏林州立博物馆,Ming-Dynastie,用燃烧的金色漆的铜牌,对象维度：38.5 x 25.5 x 16厘米
Guanyin (Guanyin pusa 觀音菩薩),柏林州立博物馆,"Qing (Mandschu) –Dynastie (Ende), vor 1883",Craqualè - Porzellan,对象维度：25 x 17.5 x 14.5厘米
Guanyin mit Kind (guanyin ji ying'er 觀音及嬰兒),柏林州立博物馆,Ming-Dynastie,Bronze,对象维度：15 x 10.3 x 8厘米
Guanyin 觀音,柏林州立博物馆,Ming-Dynastie,Bronze,对象维度：31.5 x 18.3 x 16厘米
Muttergöttin - Kinderschenkende Tochter des Taishan (bixia niangniang碧霞娘娘 / bixia yuanjun 碧霞元君),柏林州立博物馆,Qing (Mandschu) -Dynastie,Bronze,对象维度：28.2 x 15 x 11厘米
Dienerin einer Muttergöttin (shengmu de shinü 聖母的侍女),柏林州立博物馆,,Bronze,对象维度：19.2 x 9 x 6.5厘米
chuan zhu 串珠,柏林州立博物馆,,檀香，丝绸,长度：22厘米（悬挂着架子）
Weituo tianshen 韋陀天神,柏林州立博物馆,,Bronze,对象维度：39 x 19.5 x 14.5厘米
"Sakyamuni, chin.: shijiamouni 釋迦牟尼",柏林州立博物馆,Ming-Dynastie (Ende),Bronze,对象维度：25.5 x 20 x 14.5厘米
"Arhat, Lohan (chin. luohan 羅漢)",柏林州立博物馆,Ming-Dynastie,木材（涂漆）,对象维度：34 x 12 x 12厘米
chin.: qiantong 籤筒,柏林州立博物馆,,用墨水,高度x直径：29.5 x 9.5厘米
Samantabhadra (pu xian 普賢),柏林州立博物馆,Ming-Dynastie,多染色木材,对象维度：38 x 18 x 15.3厘米
"Arhat, Lohan (chin.: luohan 羅漢)",柏林州立博物馆,明朝，17世纪后期,木材（涂漆）,对象维度：33 x 12.5 x 11厘米
“骑马猎人”,柏林州立博物馆,唐时间（？）,Keramik,对象维度：30.5 x 25 x 9厘米
来自年轻的妇女,柏林州立博物馆,,演示表格：在纸板上,图像格式（照片）：13.5 x 20厘米
针对Miao的一系列战役的战斗图片,柏林州立博物馆,,铜,身高：59.5厘米
针对Miao的一系列战役的战斗图片,柏林州立博物馆,,铜,身高：62厘米
针对Miao的一系列战役的战斗图片,柏林州立博物馆,,铜,身高：60.5厘米
针对Miao的一系列战役的战斗图片,柏林州立博物馆,,铜,身高：59.5厘米
达瓦公爵的肖像,柏林州立博物馆,um 1755,纸上的油漆,"Kartonformat: 71,9 x 56,4 cm"
shouxing;长寿的上帝,柏林州立博物馆,,象牙,身高：22厘米
“皇帝亲自去纽约市接受应得的官员和士兵”，第15页,柏林州立博物馆,1912,Papier,
财富神和公务员,柏林州立博物馆,,纸，墨水，色素,叶子大小：52.7 x 30.8厘米
Hammelkopf肉类卖家,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：24.8 x 13.7厘米
大蒜的隆隆声,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.0 x 14.2厘米
豆奶酪和葡萄,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.5 x 14.0厘米
戏剧演员的巴特,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.0 x 14.0厘米
bamboo,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.5 x 14.0厘米
男人吹小号,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.2 x 14.0厘米
灯笼的盲人,柏林州立博物馆,Qing (Mandschu) –Dynastie (Ende),用japana纸，墨水，颜色的纸,叶子大小：25.5 x 14.0厘米
