id,museum,title,era,material,size,description,detail_url,image,download_link
1,Staatliche Museen zu Berlin,Kämpfe bei Dabulin (Schlachtenbild),1789-Qing-Dynastie-Qianlong-Periode,"Roter, braun-gelber, olivfarbener und blauer Schnitzlack, Holz und vergoldete Bronze mit Elfenbein und Stein",Höhe x Breite: 72 x 108 cm,[SM8HF],https://id.smb.museum/object/1908454/kampfe-bei-dabulin-schlachtenbild,https://recherche.smb.museum/images/5702994_300x300.jpg,https://recherche.smb.museum/images/5702994_300x300.jpg
2,Staatliche Museen zu Berlin,,,Leder; Stickerei,Höhe x Breite: 40 x 24 cm,"Karteieintrag: ütak = knee boots worn in Turkestan (Shaw).

zur Technik textile Teile:
a) dunkelgrünes und grünes Tuch (Wolle, Leinwandbindung), gerauht, dunkelrotes Tuch (Wolle, Leinwandbindung), dunkelrotes Wollgewebe (Köperbindung): darauf Metallstickerei (ehemals gold- und silberfarben - Metallgespinstfäden: vermutlich Messing- und Siberlahn über Baumwollseelen) in Sprengtechnik über Einlagen aus geschnittenem Leder, Konturierungen in Anlegetechnik (Überfangfäden: orangefarbene Seide), und Stickerei in Dunkelrot (Flachstiche, Seide) ; Fransen aus dunkelroter Seide
b) am oberen Schaft: blaues, grobes Baumwollgewebe (Leinwandbindung), bestickt mit Kettenstichen (Baumwollgarn, naturfarben, beige und einem hellen Braunton, der vermutlich einmal dunkelrot gewesen ist",https://id.smb.museum/object/3500677/schuhe,https://recherche.smb.museum/images/1191677_300x300.jpg,https://recherche.smb.museum/images/1191677_300x300.jpg
3,Staatliche Museen zu Berlin,,,Leder; Stickerei,Höhe x Breite: 40 x 24 cm,"Karteieintrag: ütak = knee boots worn in Turkestan (Shaw).

zur Technik textile Teile:
a) dunkelgrünes und grünes Tuch (Wolle, Leinwandbindung), gerauht, dunkelrotes Tuch (Wolle, Leinwandbindung), dunkelrotes Wollgewebe (Köperbindung): darauf Metallstickerei (ehemals gold- und silberfarben - Metallgespinstfäden: vermutlich Messing- und Siberlahn über Baumwollseelen) in Sprengtechnik über Einlagen aus geschnittenem Leder, Konturierungen in Anlegetechnik (Überfangfäden: orangefarbene Seide), und Stickerei in Dunkelrot (Flachstiche, Seide) ; Fransen aus dunkelroter Seide
b) am oberen Schaft: blaues, grobes Baumwollgewebe (Leinwandbindung), bestickt mit Kettenstichen (Baumwollgarn, naturfarben, beige und einem hellen Braunton, der vermutlich einmal dunkelrot gewesen ist",https://id.smb.museum/object/193304/schuhe,https://recherche.smb.museum/images/1191677_300x300.jpg,https://recherche.smb.museum/images/1191677_300x300.jpg
4,Staatliche Museen zu Berlin,,,Seide,Länge x Breite: 125 x 109 cm,"Tuch ""uramal"" wie 89/92. 
Gelbe Seide mit Stickerei.",https://id.smb.museum/object/193386/tuch,https://recherche.smb.museum/images/1535980_300x300.jpg,https://recherche.smb.museum/images/1535980_300x300.jpg
5,Staatliche Museen zu Berlin,"Teller mit Küstenlandschaft und Hirten (""Chine de commande"")","Qing-Dynastie, Qianlong-Ära (1736-1795)",Porzellan mit Aufglasur- und Goldmalerei,,"Die Tellerfahne ist mit einem an Meißener Porzellane erinnernden Goldspitzendekor sowie blauen und roten Ornamenten dekoriert. In drei Reserven sind purpurfarbene chinesische Landschaften dargestellt. Der Spiegel zeigt eine Küstenlandschaft. Rechts im Vordergrund erscheint eine Landschaft mit Hirten und Schafen sowie einem europäisch gekleideten Aristokratenpaar zwischen Bäumen, dahinter ein Hausgiebel. Im linken Bildfeld eine Bucht mit einem Schiff und zwei kleineren Booten. Im Hintergrund ist eine Felsenlandschaft mit einer chinesischen Stadt mit Pagode dargestellt.Im 17. und 18. Jahrhundert exportierte China große Mengen seines Porzellans nach Europa. Die „Ostindischen Handelskompagnien“ agierten als Vermittler. Geliefert wurden die Porzellane meist an Händler aus Holland, England und anderen Handelsnationen, die sie dann weiter verkauften. Chinesische Maler dekorierten die Porzellane in Werkstätten in der Nähe der Hafenstadt Guangzhou (Kanton). Als Vorlagen dienten oftmals europäische Druckgrafiken. Dabei verbanden sie die ihnen fremden Motive aus Europa mit eigenen Bildvorstellungen. // ClKa",https://id.smb.museum/object/893265/teller-mit-kustenlandschaft-und-hirten-chine-de-commande,https://recherche.smb.museum/images/5398339_300x300.jpg,https://recherche.smb.museum/images/5398339_300x300.jpg
6,Staatliche Museen zu Berlin,"Teller mit Urteil des Paris (""Chine de commande"")","Ausführung: Qing-Dynastie, Qianlong-Ära (1736-1795), um 1740",,,"Im 17. und 18. Jahrhundert exportierte China große Mengen seines Porzellans nach Europa. Die „Ostindischen Handelskompagnien“ agierten als Vermittler. Geliefert wurden die Porzellane meist an Händler aus Holland, England und anderen Handelsnationen, die sie dann weiter verkauften. Chinesische Maler dekorierten die Porzellane in Werkstätten in der Nähe der Hafenstadt Kanton (Guangzhou). Dabei verbanden sie die ihnen fremden Motive aus Europa mit eigenen Bildvorstellungen.Dargestellt ist die antike Geschichte des Parisurteils: Paris überreicht den Apfel der in der Mitte stehenden Aphrodite als schönster Göttin. Hera und Athena gehen leer aus. Als Vorlage diente ein Kupferstich, der vermutlich auf ein Gemälde aus dem Umkreis von Jan Brueghel d. J. (1616-1678) zurückging. Die Geschichte war dem chinesischen Maler jedoch fremd. Athena in Rückenansicht schien er wegen ihres Helms für einen Mann gehalten zu haben. Der Apfel wird zu einem undefinierbaren Gegenstand. // ClKa",https://id.smb.museum/object/885911/teller-mit-urteil-des-paris-chine-de-commande,https://recherche.smb.museum/images/6283471_300x300.jpg,https://recherche.smb.museum/images/6283471_300x300.jpg
7,Staatliche Museen zu Berlin,yinqing,,"Messing, teil poliert, Holz, lackiert, Metall",Höhe: 29 cm (mit Stiel),,https://id.smb.museum/object/256260/yinqing,https://recherche.smb.museum/images/3468617_300x300.jpg,https://recherche.smb.museum/images/3468617_300x300.jpg
8,Staatliche Museen zu Berlin,Couplet,Qing-Dynastie-18./19. Jahrhundert,"Couplet, Tusche auf Papier mit Goldgrundmalerei","Bemalte Bildfläche: 347,4 x 50,7 cm je Rolle",[SM8HF],https://id.smb.museum/object/2260424/couplet,https://recherche.smb.museum/images/5188907_300x300.jpg,https://recherche.smb.museum/images/5188907_300x300.jpg
9,Staatliche Museen zu Berlin,Chinesische Porzellanschale in europäischer Metallfassung,"um 1580 (Fassung), Porzellan: Ming-Dynastie, Wan Li-Ära: 1563-1620","Schale: Porzellan mit Unterglasumalerei, Fassung: Silber, z.T. gegossen, getrieben, vergoldet, graviert","Höhe: 7,8 cm","Eintrag im Inventarbuch: ""Porzellannapf, halbkugelig, auf Ringfuß, kobaltblau unter der Glasur bemalt. Außen an der Wandung in vier Kreisen angeordnete Blüten und Blätter, am Rand Bordüre aus Blättern und Blüten an wellig bewegter Ranke. Im Boden Päonienzweig im Doppelkreis. Vergoldete Silberfassung; profilierter Fuß, zwei S förmig geschwungene Volutenhenkel mit weiblicher Herme auf durchbrochenen, unten durch Scharnier, oben durch ein den Rand des Napfes umfassenden Blättchen befestigten Verbindungsstücken. China, Mingzeit, Fassung deutsch, Ende 16. Jahrh. Rechteckige Siegelmarke. Vorb. M. Blum, Wien.""

Die Schale stammt aus der 1935 für das Berliner Kunstgewerbemuseum angekauften Sammlung von Dr. Albert Figdor, Wien. 

Die kostbaren Edelmetallfassungen, die man im 16. Jahrhundert für Kanne und Schale anfertigte, zeugen von der hohen Wertschätzung für das seltene chinesische Porzellan.

ClKa",https://id.smb.museum/object/2305156/chinesische-porzellanschale-in-europaischer-metallfassung,https://recherche.smb.museum/images/5394160_300x300.jpg,https://recherche.smb.museum/images/5394160_300x300.jpg
10,Staatliche Museen zu Berlin,Schale mit Päoniendekor,Jin-Dynastie-12. Jh.,"Cizou-Ware, Ton mit weißer Engobe, Sgraffitodekor","Höhe x Breite x Tiefe: 13,7 x 27,9 x 28,5 cm",[SM8HF],https://id.smb.museum/object/1910532/schale-mit-paoniendekor,https://recherche.smb.museum/images/4617587_300x300.jpg,https://recherche.smb.museum/images/4617587_300x300.jpg
