Subject,Predicate,Object
Kämpfe bei Dabulin (Schlachtenbild),属于,Staatliche Museen zu Berlin
Kämpfe bei Dabulin (Schlachtenbild),年代,1789-Qing-Dynastie-Qianlong-Periode
Kämpfe bei Dabulin (Schlachtenbild),材料,"Roter, braun-gelber, olivfarbener und blauer Schnitzlack, Holz und vergoldete Bronze mit Elfenbein und Stein"
Kämpfe bei Dabulin (Schlachtenbild),大小,Höhe x Breite: 72 x 108 cm
Kämpfe bei Dabulin (Schlachtenbild),描述,[SM8HF]
Kämpfe bei Dabulin (Schlachtenbild),图片链接,https://recherche.smb.museum/images/5702994_300x300.jpg
Kämpfe bei Dabulin (Schlachtenbild),详情链接,https://id.smb.museum/object/1908454/kampfe-bei-dabulin-schlachtenbild
Couplet,属于,Staatliche Museen zu Berlin
Couplet,年代,Qing-Dynastie-18./19. Jahrhundert
Couplet,材料,"Couplet, Tusche auf Papier mit Goldgrundmalerei"
Couplet,大小,"Bemalte Bildfläche: 347,4 x 50,7 cm je Rolle"
Couplet,描述,[SM8HF]
Couplet,图片链接,https://recherche.smb.museum/images/5188907_300x300.jpg
Couplet,详情链接,https://id.smb.museum/object/2260424/couplet
Chinesische Porzellanschale in europäischer Metallfassung,属于,Staatliche Museen zu Berlin
Chinesische Porzellanschale in europäischer Metallfassung,年代,"um 1580 (Fassung), Porzellan: Ming-Dynastie, Wan Li-Ära: 1563-1620"
Chinesische Porzellanschale in europäischer Metallfassung,材料,"Schale: Porzellan mit Unterglasumalerei, Fassung: Silber, z.T. gegossen, getrieben, vergoldet, graviert"
Chinesische Porzellanschale in europäischer Metallfassung,大小,"Höhe: 7,8 cm"
Chinesische Porzellanschale in europäischer Metallfassung,描述,"Eintrag im Inventarbuch: ""Porzellannapf, halbkugelig, auf Ringfuß, kobaltblau unter der Glasur bemalt. Außen an der Wandung in vier Kreisen angeordnete Blüten und Blätter, am Rand Bordüre aus Blättern und Blüten an wellig bewegter Ranke. Im Boden Päonienzweig im Doppelkreis. Vergoldete Silberfassung; profilierter Fuß, zwei S förmig geschwungene Volutenhenkel mit weiblicher Herme auf durchbrochenen, unten durch Scharnier, oben durch ein den Rand des Napfes umfassenden Blättchen befestigten Verbindungsstücken. China, Mingzeit, Fassung deutsch, Ende 16. Jahrh. Rechteckige Siegelmarke. Vorb. M. Blum, Wien.""

Die Schale stammt aus der 1935 für das Berliner Kunstgewerbemuseum angekauften Sammlung von Dr. Albert Figdor, Wien. 

Die kostbaren Edelmetallfassungen, die man im 16. Jahrhundert für Kanne und Schale anfertigte, zeugen von der hohen Wertschätzung für das seltene chinesische Porzellan.

ClKa"
Chinesische Porzellanschale in europäischer Metallfassung,图片链接,https://recherche.smb.museum/images/5394160_300x300.jpg
Chinesische Porzellanschale in europäischer Metallfassung,详情链接,https://id.smb.museum/object/2305156/chinesische-porzellanschale-in-europaischer-metallfassung
Schale mit Päoniendekor,属于,Staatliche Museen zu Berlin
Schale mit Päoniendekor,年代,Jin-Dynastie-12. Jh.
Schale mit Päoniendekor,材料,"Cizou-Ware, Ton mit weißer Engobe, Sgraffitodekor"
Schale mit Päoniendekor,大小,"Höhe x Breite x Tiefe: 13,7 x 27,9 x 28,5 cm"
Schale mit Päoniendekor,描述,[SM8HF]
Schale mit Päoniendekor,图片链接,https://recherche.smb.museum/images/4617587_300x300.jpg
Schale mit Päoniendekor,详情链接,https://id.smb.museum/object/1910532/schale-mit-paoniendekor
Teeschale,属于,Staatliche Museen zu Berlin
Teeschale,年代,Südliche Song-Dynastie-12./13. Jh.
Teeschale,材料,Sandfarbener Ton mit hellbrauner Glasur
Teeschale,大小,"Höhe x Durchmesser: 4,4 x 14,7 cm"
Teeschale,描述,[SM8HF]
Teeschale,图片链接,https://recherche.smb.museum/images/4617546_300x300.jpg
Teeschale,详情链接,https://id.smb.museum/object/1910345/teeschale
Kopfstütze mit Landschaftsdekor,属于,Staatliche Museen zu Berlin
Kopfstütze mit Landschaftsdekor,年代,"Song-Dynastie, 13. Jh.-Jin-Dynastie-bzw. Song-Dynastie"
Kopfstütze mit Landschaftsdekor,材料,"Glasiertes Steinzeug mit brauner Bemalung, Cizhou-Ware"
Kopfstütze mit Landschaftsdekor,大小,Höhe x Breite x Tiefe: 13 x 27 x 24 cm
