title,museum,era,material,size
"Teller mit Küstenlandschaft und Hirten (""Chine de commande"")",Staatliche Museen zu Berlin,,,
"Teller mit Urteil des Paris (""Chine de commande"")",Staatliche Museen zu Berlin,,,
yinqing,Staatliche Museen zu Berlin,,,
Manichäische Buchillustration,Staatliche Museen zu Berlin,,,
duttar,Staatliche Museen zu Berlin,,,
Militärbeamte V. Klasse,Staatliche Museen zu Berlin,,,
Militärbeamte IV. Klasse,Staatliche Museen zu Berlin,,,
Militärbeamte II. Klasse,Staatliche Museen zu Berlin,,,
Militärbeamter I. Klasse,Staatliche Museen zu Berlin,,,
Zivilbeamter VIII. Klasse,Staatliche Museen zu Berlin,,,
Zivilbeamter VII. Klasse,Staatliche Museen zu Berlin,,,
Zivilbeamter IV. Klasse,Staatliche Museen zu Berlin,,,
Qilin,Staatliche Museen zu Berlin,,,
Militärbeamter: 8. Klasse,Staatliche Museen zu Berlin,,,
Militärbeamter: 7. Klasse.,Staatliche Museen zu Berlin,,,
Militärbeamter: 6. Klasse.,Staatliche Museen zu Berlin,,,
Militärbeamter 5. Grades,Staatliche Museen zu Berlin,,,
Militärbeamter: 4. Klasse.,Staatliche Museen zu Berlin,,,
Militärbeamter  3. Klasse.,Staatliche Museen zu Berlin,,,
Militärbeamter: 1. Klasse.,Staatliche Museen zu Berlin,,,
Zivilbeamter: 9. Klasse.,Staatliche Museen zu Berlin,,,
Zivilbeamter: 8. Klasse.,Staatliche Museen zu Berlin,,,
Zivilbeamter: 7. Klasse.,Staatliche Museen zu Berlin,,,
Zivilbeamter: 6. Klasse.,Staatliche Museen zu Berlin,,,
Zivilbeamter 5. Grades,Staatliche Museen zu Berlin,,,
Zivilbeamter: 4. Klasse.,Staatliche Museen zu Berlin,,,
Zivilbeamter 3. Grades,Staatliche Museen zu Berlin,,,
Zivilbeamter: 2. Klasse,Staatliche Museen zu Berlin,,,
Militärbeamter II. Klasse,Staatliche Museen zu Berlin,,,
Haarnadel mit Zier in Form eines Bootes,Staatliche Museen zu Berlin,,,
Tuschereibstein in Form eines kauernden Fabelwesens,Staatliche Museen zu Berlin,,,
Achteckiger Kasten,Staatliche Museen zu Berlin,,,
Kalligrafie,Staatliche Museen zu Berlin,,,
Orchideen und Felsen,Staatliche Museen zu Berlin,,,
Porträt des Baningga,Staatliche Museen zu Berlin,,,
Porträt des Badai,Staatliche Museen zu Berlin,,,
Porträt des Generals Baketanbu,Staatliche Museen zu Berlin,,,
Die Schlacht von Dawujing (Schlachtenbild),Staatliche Museen zu Berlin,,,
Die Schlacht von Xiaobantian (Schlachtenbild),Staatliche Museen zu Berlin,,,
Archiv China,Staatliche Museen zu Berlin,,,
Seidenbrokat mit Gänsepaar-Medaillons,Staatliche Museen zu Berlin,,,
Seidenbrokat mit Phönix- und Wolkenmedaillons,Staatliche Museen zu Berlin,,,
Seidenfragment mit Reiherpaaren unter Lotosblumen,Staatliche Museen zu Berlin,,,
Miao-Buch,Staatliche Museen zu Berlin,,,
Mueller China,Staatliche Museen zu Berlin,,,
Laufer China,Staatliche Museen zu Berlin,,,
Beschnidt China,Staatliche Museen zu Berlin,,,
Kalligrafie,Staatliche Museen zu Berlin,,,
Kalligrafie,Staatliche Museen zu Berlin,,,
Kalligrafie,Staatliche Museen zu Berlin,,,
Kalligrafie,Staatliche Museen zu Berlin,,,
